epoch,lr,train_loss,train_acc,val_loss,val_acc,val_prec,val_rec,val_f1
1,0.00100000,0.296354,0.880235,0.193799,0.945565,0.901818,1.000000,0.948375
2,0.00099961,0.219110,0.915201,0.112827,0.977823,0.957529,1.000000,0.978304
3,0.00099846,0.154987,0.941164,0.724294,0.691532,0.961165,0.399194,0.564103
4,0.00099653,0.168184,0.938652,0.684545,0.856855,0.777429,1.000000,0.874780
5,0.00099384,0.160314,0.939698,0.100275,0.967742,0.939394,1.000000,0.968750
6,0.00099039,0.118746,0.957077,0.096652,0.989919,0.980237,1.000000,0.990020
7,0.00098618,0.118744,0.957496,0.113561,0.969758,0.983402,0.955645,0.969325
8,0.00098123,0.129723,0.954146,0.098555,0.981855,0.964981,1.000000,0.982178
9,0.00097553,0.108276,0.961893,0.076056,0.979839,0.979839,0.979839,0.979839
10,0.00096910,0.096664,0.967755,0.084264,0.985887,0.972549,1.000000,0.986083
11,0.00096194,0.102849,0.965452,0.078434,0.987903,0.976378,1.000000,0.988048
12,0.00095407,0.098390,0.962312,0.078588,0.989919,0.980237,1.000000,0.990020
13,0.00094550,0.090995,0.965452,0.049053,0.987903,0.976378,1.000000,0.988048
14,0.00093625,0.094985,0.967337,0.101638,0.987903,0.976378,1.000000,0.988048
15,0.00092632,0.091407,0.965871,0.578652,0.899194,0.990099,0.806452,0.888889
16,0.00091573,0.094114,0.968174,0.286317,0.891129,0.975490,0.802419,0.880531
17,0.00090451,0.075133,0.973618,0.050521,0.987903,0.976378,1.000000,0.988048
18,0.00089266,0.068641,0.977178,0.082542,0.989919,0.980237,1.000000,0.990020
19,0.00088020,0.100691,0.963568,0.057943,0.991935,0.984127,1.000000,0.992000
20,0.00086716,0.100931,0.963987,0.043137,0.993952,0.988048,1.000000,0.993988
21,0.00085355,0.070808,0.973827,0.062042,0.995968,0.992000,1.000000,0.995984
22,0.00083940,0.072777,0.975712,0.172691,0.905242,0.985507,0.822581,0.896703
23,0.00082472,0.082700,0.969221,0.023266,0.995968,0.992000,1.000000,0.995984
24,0.00080955,0.061764,0.978853,0.109985,0.971774,0.983471,0.959677,0.971429
25,0.00079389,0.064062,0.976759,0.083047,0.965726,0.983264,0.947581,0.965092
26,0.00077779,0.051748,0.982621,0.060204,0.995968,0.992000,1.000000,0.995984
27,0.00076125,0.057442,0.978853,0.149604,0.913306,0.972350,0.850806,0.907527
28,0.00074431,0.055565,0.982831,0.104724,0.979839,0.991736,0.967742,0.979592
29,0.00072700,0.052810,0.983040,0.040595,0.995968,0.992000,1.000000,0.995984
30,0.00070933,0.067106,0.976549,0.019371,0.993952,0.988048,1.000000,0.993988
31,0.00069134,0.048443,0.983040,0.295908,0.879032,0.989583,0.766129,0.863636
32,0.00067306,0.046753,0.983459,0.044090,0.991935,0.984127,1.000000,0.992000
33,0.00065451,0.054816,0.981365,0.075737,0.991935,0.984127,1.000000,0.992000
34,0.00063572,0.052574,0.982203,0.029602,0.995968,0.992000,1.000000,0.995984
35,0.00061672,0.053229,0.982203,0.034918,0.993952,0.988048,1.000000,0.993988
36,0.00059755,0.050032,0.980737,0.031736,0.993952,0.988048,1.000000,0.993988
37,0.00057822,0.046904,0.984087,0.141102,0.899194,0.990099,0.806452,0.888889
38,0.00055877,0.043494,0.982831,0.036508,0.993952,0.988048,1.000000,0.993988
39,0.00053923,0.047901,0.984087,0.037216,0.995968,0.992000,1.000000,0.995984
40,0.00051963,0.044267,0.983878,0.032744,0.995968,0.992000,1.000000,0.995984
