epoch,lr,train_loss,train_acc,val_loss,val_acc,val_prec,val_rec,val_f1
1,0.00100000,0.459081,0.789474,0.761743,0.500000,0.500000,1.000000,0.666667
2,0.00099961,0.255779,0.898496,0.862203,0.500000,0.500000,1.000000,0.666667
3,0.00099846,0.176577,0.928571,0.479852,0.852941,0.772727,1.000000,0.871795
4,0.00099653,0.129196,0.969925,0.290156,0.882353,0.809524,1.000000,0.894737
5,0.00099384,0.129927,0.973684,0.225126,0.911765,0.850000,1.000000,0.918919
6,0.00099039,0.127338,0.962406,0.162478,0.970588,1.000000,0.941176,0.969697
7,0.00098618,0.117087,0.958647,0.166351,0.970588,1.000000,0.941176,0.969697
8,0.00098123,0.124246,0.958647,0.176129,0.911765,1.000000,0.823529,0.903226
9,0.00097553,0.110239,0.966165,0.138889,0.941176,1.000000,0.882353,0.937500
10,0.00096910,0.101039,0.962406,0.040709,1.000000,1.000000,1.000000,1.000000
11,0.00096194,0.068904,0.981203,0.043413,1.000000,1.000000,1.000000,1.000000
12,0.00095407,0.093752,0.977444,0.060748,1.000000,1.000000,1.000000,1.000000
13,0.00094550,0.080157,0.981203,0.049527,1.000000,1.000000,1.000000,1.000000
14,0.00093625,0.135860,0.958647,0.256966,0.911765,1.000000,0.823529,0.903226
15,0.00092632,0.101246,0.958647,0.383482,0.882353,0.809524,1.000000,0.894737
16,0.00091573,0.091065,0.973684,0.176704,0.911765,0.850000,1.000000,0.918919
17,0.00090451,0.098913,0.973684,0.064140,0.970588,0.944444,1.000000,0.971429
18,0.00089266,0.082280,0.981203,0.031082,1.000000,1.000000,1.000000,1.000000
19,0.00088020,0.087348,0.969925,0.026194,1.000000,1.000000,1.000000,1.000000
20,0.00086716,0.121807,0.954887,0.135188,0.970588,1.000000,0.941176,0.969697
21,0.00085355,0.104251,0.973684,0.050647,0.970588,0.944444,1.000000,0.971429
22,0.00083940,0.107913,0.954887,0.021656,1.000000,1.000000,1.000000,1.000000
23,0.00082472,0.099872,0.981203,0.042558,0.970588,1.000000,0.941176,0.969697
24,0.00080955,0.139967,0.951128,0.270784,0.911765,1.000000,0.823529,0.903226
25,0.00079389,0.147696,0.958647,0.178536,0.970588,0.944444,1.000000,0.971429
26,0.00077779,0.104971,0.969925,0.224573,0.941176,0.894737,1.000000,0.944444
27,0.00076125,0.110606,0.977444,0.062656,0.970588,0.944444,1.000000,0.971429
28,0.00074431,0.086475,0.977444,0.051760,1.000000,1.000000,1.000000,1.000000
29,0.00072700,0.095700,0.969925,0.061920,0.970588,0.944444,1.000000,0.971429
30,0.00070933,0.082382,0.981203,0.090105,0.941176,0.894737,1.000000,0.944444
31,0.00069134,0.072100,0.988722,0.053112,0.970588,0.944444,1.000000,0.971429
32,0.00067306,0.060594,0.988722,0.029420,1.000000,1.000000,1.000000,1.000000
