epoch,lr,train_loss,train_acc,val_loss,val_acc,val_prec,val_rec,val_f1
1,0.00030000,0.251154,0.900754,0.193503,0.923387,0.981651,0.862903,0.918455
2,0.00029988,0.191524,0.924832,0.150726,0.971774,0.946565,1.000000,0.972549
3,0.00029954,0.157136,0.942630,0.075650,0.981855,0.964981,1.000000,0.982178
4,0.00029896,0.132077,0.953308,0.072910,0.989919,0.980237,1.000000,0.990020
5,0.00029815,0.139970,0.949749,0.044482,0.987903,0.976378,1.000000,0.988048
6,0.00029712,0.102094,0.962940,0.063596,0.983871,0.968750,1.000000,0.984127
7,0.00029586,0.102564,0.963358,0.567014,0.776210,0.979021,0.564516,0.716113
8,0.00029437,0.097832,0.964405,0.058390,0.991935,0.984127,1.000000,0.992000
9,0.00029266,0.104498,0.962521,0.045976,0.989919,0.980237,1.000000,0.990020
10,0.00029073,0.084837,0.969849,0.044874,0.991935,0.984127,1.000000,0.992000
11,0.00028858,0.083667,0.974037,0.055258,0.987903,0.976378,1.000000,0.988048
12,0.00028622,0.076010,0.976968,0.040421,0.989919,0.980237,1.000000,0.990020
13,0.00028365,0.065924,0.978015,0.051134,0.989919,0.980237,1.000000,0.990020
14,0.00028087,0.071759,0.976759,0.033836,0.995968,0.992000,1.000000,0.995984
15,0.00027790,0.071297,0.976968,0.097810,0.913306,0.985782,0.838710,0.906318
16,0.00027472,0.073333,0.975503,0.028105,0.991935,0.984127,1.000000,0.992000
17,0.00027135,0.065394,0.978224,0.055765,0.989919,0.980237,1.000000,0.990020
18,0.00026780,0.072388,0.975921,0.074956,0.987903,0.976378,1.000000,0.988048
19,0.00026406,0.064262,0.977387,0.044107,0.995968,0.992000,1.000000,0.995984
20,0.00026015,0.065135,0.978643,0.029512,0.993952,0.988048,1.000000,0.993988
21,0.00025607,0.054635,0.983040,0.023272,0.995968,0.992000,1.000000,0.995984
22,0.00025182,0.050771,0.984506,0.069812,0.991935,0.984127,1.000000,0.992000
23,0.00024742,0.057213,0.981365,0.032247,0.995968,0.992000,1.000000,0.995984
24,0.00024286,0.045792,0.984087,0.081483,0.983871,0.983871,0.983871,0.983871
25,0.00023817,0.041589,0.985762,0.040949,0.991935,0.984127,1.000000,0.992000
26,0.00023334,0.044155,0.984296,0.059926,0.989919,0.984064,0.995968,0.989980
27,0.00022837,0.059434,0.980528,0.035735,0.991935,0.984127,1.000000,0.992000
28,0.00022329,0.044196,0.986181,0.044284,0.995968,0.992000,1.000000,0.995984
29,0.00021810,0.036070,0.989740,0.036691,0.995968,0.992000,1.000000,0.995984
30,0.00021280,0.041095,0.987647,0.027188,0.991935,0.984127,1.000000,0.992000
31,0.00020740,0.037097,0.988065,0.023586,0.995968,0.992000,1.000000,0.995984
