epoch,lr,train_loss,train_acc,val_loss,val_acc,val_prec,val_rec,val_f1
1,0.00030000,0.373718,0.819549,0.691773,0.500000,0.500000,1.000000,0.666667
2,0.00029988,0.212987,0.909774,0.706169,0.500000,0.500000,1.000000,0.666667
3,0.00029954,0.174903,0.928571,0.664535,0.500000,0.500000,1.000000,0.666667
4,0.00029896,0.128383,0.966165,0.647962,0.500000,0.500000,1.000000,0.666667
5,0.00029815,0.126104,0.966165,0.422943,0.852941,0.772727,1.000000,0.871795
6,0.00029712,0.128844,0.951128,0.197747,0.970588,1.000000,0.941176,0.969697
7,0.00029586,0.107287,0.958647,0.173943,0.970588,1.000000,0.941176,0.969697
8,0.00029437,0.089765,0.977444,0.155935,0.970588,1.000000,0.941176,0.969697
9,0.00029266,0.064300,0.992481,0.121539,1.000000,1.000000,1.000000,1.000000
10,0.00029073,0.075645,0.973684,0.112170,0.970588,1.000000,0.941176,0.969697
11,0.00028858,0.068245,0.981203,0.058628,1.000000,1.000000,1.000000,1.000000
12,0.00028622,0.063615,0.984962,0.048638,1.000000,1.000000,1.000000,1.000000
13,0.00028365,0.056524,0.973684,0.039641,1.000000,1.000000,1.000000,1.000000
14,0.00028087,0.085892,0.981203,0.064381,0.970588,0.944444,1.000000,0.971429
15,0.00027790,0.062820,0.984962,0.182707,0.941176,0.894737,1.000000,0.944444
16,0.00027472,0.064110,0.988722,0.136653,0.970588,0.944444,1.000000,0.971429
17,0.00027135,0.074058,0.981203,0.028464,1.000000,1.000000,1.000000,1.000000
18,0.00026780,0.057002,0.988722,0.028820,1.000000,1.000000,1.000000,1.000000
19,0.00026406,0.072195,0.969925,0.057990,0.970588,1.000000,0.941176,0.969697
20,0.00026015,0.109613,0.962406,0.033418,1.000000,1.000000,1.000000,1.000000
21,0.00025607,0.074828,0.984962,0.032380,1.000000,1.000000,1.000000,1.000000
22,0.00025182,0.093195,0.951128,0.044011,1.000000,1.000000,1.000000,1.000000
23,0.00024742,0.104770,0.966165,0.015401,1.000000,1.000000,1.000000,1.000000
24,0.00024286,0.104782,0.951128,0.078312,0.970588,0.944444,1.000000,0.971429
25,0.00023817,0.103364,0.958647,0.286045,0.911765,0.850000,1.000000,0.918919
26,0.00023334,0.088094,0.973684,0.225498,0.941176,0.894737,1.000000,0.944444
27,0.00022837,0.106690,0.962406,0.092362,0.970588,0.944444,1.000000,0.971429
28,0.00022329,0.066936,0.981203,0.034481,1.000000,1.000000,1.000000,1.000000
29,0.00021810,0.072994,0.977444,0.011696,1.000000,1.000000,1.000000,1.000000
30,0.00021280,0.081446,0.973684,0.013786,1.000000,1.000000,1.000000,1.000000
31,0.00020740,0.083023,0.973684,0.028330,1.000000,1.000000,1.000000,1.000000
32,0.00020192,0.060353,0.981203,0.031687,1.000000,1.000000,1.000000,1.000000
33,0.00019635,0.082788,0.977444,0.034231,1.000000,1.000000,1.000000,1.000000
34,0.00019072,0.071280,0.977444,0.066408,1.000000,1.000000,1.000000,1.000000
35,0.00018502,0.068070,0.977444,0.032839,1.000000,1.000000,1.000000,1.000000
36,0.00017926,0.048357,0.992481,0.014206,1.000000,1.000000,1.000000,1.000000
37,0.00017347,0.053209,0.988722,0.014321,1.000000,1.000000,1.000000,1.000000
38,0.00016763,0.047698,0.988722,0.023773,1.000000,1.000000,1.000000,1.000000
39,0.00016177,0.046017,0.988722,0.024894,1.000000,1.000000,1.000000,1.000000
